country,category,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12
Botswana,Recreation and culture,0.007345451270773918,0.0019170336163006904,0.0024662538358423127,0.0039959702219594505,-0.0056383049172656656,0.006923525090277726,-0.008541765052032732,0.0053460075621290775,-0.0040407136546207895,0.028364569216245045,-0.014599567263833496,-0.01431820136921728
Botswana,Restaurants and hotels,-9.145348930678244e-05,0.002538794205838514,0.00057795577581951,-0.0017302251550812965,0.004827449218908087,-0.0026038662968121953,-0.0021458631289325686,0.002296492016109643,0.004744808389997306,-0.0005836582114228901,0.01631372682925156,-0.011356162367458482
Botswana,Transport,0.0025297323352582064,0.02608793281697178,0.03628507100987809,0.033154624519072064,0.024623640652718243,-0.0007034832315245285,0.038267201457069036,-0.006246088975345764,0.008468806010501885,0.004510292622076025,0.02127581113658882,-0.010742784606031784
Burkina Faso,All Items,-0.0025601519664832126,0.009570344933509887,0.010058874487114748,0.00840603770569891,-0.003034704680297691,0.011659863650005734,-0.011866317424271059,0.003719919008233398,0.0004996514963214317,0.00017913746649795886,0.008704802891918457,0.0002119010970886064
Burundi,"Alcoholic beverages, tobacco and narcotics",0.0071488496109811655,-0.016341047016195327,-0.0023695826588894862,-0.008350036693244117,0.005788243742444183,-0.015769208354273555,0.013844050889411298,0.003096315197911945,0.02171927006217362,0.0026593223856437673,-0.031225235526785047,-0.005176806506108928
Burundi,All Items,0.0021104286264514377,-0.004331506540366672,0.009976448913747389,0.002407399990060821,-0.004445129979757314,0.026149109434023893,-0.009203495498103708,0.0017174529971167776,0.010889762056273553,0.02764021839702755,-0.007875046222448686,0.0010286480765976202
Burundi,Clothing and footwear,-0.022809331860663674,0.0044223349038217275,-0.0031134102788694332,-0.009776910976505827,0.01147007767052162,-0.001777145358374508,-0.013895904682226293,0.002412463013035252,-0.04249689408439332,0.0042809645322834265,-0.026556646473870803,0.009833635087132253
Burundi,Communication,-0.046374371501799495,0.03888537477438639,-0.0028066661685219258,0.032038899608452465,-0.07526849447093643,0.024659722849861357,-0.02486859198790788,-0.020886373013009996,0.0033618161573892263,0.011349234236853578,0.014267413398641378,-0.009989490564035364
Burundi,Education,-0.0143513567874693,0.017205975159201716,-0.006577571601486769,-0.00931794141125408,-0.017627766098725916,0.0018080141792248157,-0.005446387377333117,-0.008119102847449645,0.018742009622231347,0.0023902442748095303,0.008218349852433257,-0.0011668294782024374
Burundi,Food and non-alcoholic beverages,0.0007165109444755551,-0.004393528103752469,0.008119639598297756,0.0036219695699357263,-0.005143988671868173,0.033698856711347966,0.0015774305126984205,-0.0008989592813642665,0.029856597526436445,0.052211378552423214,-0.001462277656105025,-0.0066630377129154265
Burundi,"Furnishings, household equipment and routine household maintenance",-0.007222004597208115,-0.019290912046044877,-0.006484926712475442,0.014124320237942689,-0.02402458965679973,0.022846985578623403,-0.0020135080556128665,0.0017888721619382653,0.002844189423308346,-0.005392959874373077,-0.006283085140051025,0.005825015999154013
Burundi,Health,-0.017240875070269966,0.01311167704026547,0.0007362176259471656,0.006256932921974989,-0.007844895914958626,0.030999818352997983,0.0065416973797889875,0.003738839098223149,-0.001199334466609736,0.01213176952251898,0.04368458312093741,0.0241730863504329
