country,category,lag,beta,ci_low,ci_high,standard_error,p_value,cumulative_pass_through,peak_lag,peak_coefficient,model_type,group_name,n_obs,r_squared,adj_r_squared
Non Oil Producer,Clothing and footwear,5,0.004115477908009815,-0.005094352073193905,0.013325307889213534,0.004698979192398271,0.38112581838990944,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,6,0.003953680251382264,-0.0059875137825367635,0.013894874285301291,0.0050721309740045725,0.4356905596453762,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,7,-0.00449743795006995,-0.014531085249611445,0.005536209349471546,0.005119301874261785,0.3796585302004444,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,8,0.003011605757713458,-0.005767016975071726,0.011790228490498643,0.004478971451531682,0.5013368479084495,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,9,0.00012352464180197904,-0.012184594596869793,0.012431643880473752,0.006279768065003565,0.984306418925745,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,10,-0.0009029045139479252,-0.009313718071592926,0.007507909043697076,0.004291310260794803,0.8333531584654816,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,11,-0.0003919825228495561,-0.010695530656059533,0.00991156561036042,0.005257008911634628,0.940561783113332,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Clothing and footwear,12,-0.0008250427979259998,-0.010158440217594704,0.008508354621742705,0.004762024962340815,0.8624512966951988,0.002811143794814712,2,0.013435497330679672,oil_group_category,Non Oil Producer,300,0.038027843017263585,-0.005698164118315363
Non Oil Producer,Communication,1,-0.022185769132895713,-0.057355676637493525,0.012984138371702095,0.017944160087641176,0.21631799930986628,0.08259810081934316,9,0.04387675380995763,oil_group_category,Non Oil Producer,300,0.033640916400762166,-0.010284496490112316
Non Oil Producer,Communication,2,0.03018577725941408,-0.007037970547166008,0.06740952506599417,0.018992057048086732,0.11197246937673243,0.08259810081934316,9,0.04387675380995763,oil_group_category,Non Oil Producer,300,0.033640916400762166,-0.010284496490112316
Non Oil Producer,Communication,3,-0.00766210088447274,-0.026652589720265064,0.011328387951319584,0.009689202957598649,0.4290679873423039,0.08259810081934316,9,0.04387675380995763,oil_group_category,Non Oil Producer,300,0.033640916400762166,-0.010284496490112316
